ปีที่เกิดเหตุ,สายทางหน่วยงาน,รหัสสายทาง,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,LATITUDE,LONGITUDE,ผู้เสียชีวิต,รวมจำนวนผู้บาดเจ็บ
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.1189052,100.6764847,0,0
2023,ทางหลวงชนบท,ปท.3017,ปทุมธานี,รถจักรยานยนต์,ทางตรง,ขับรถเร็วเกินอัตรากำหนด,13.960359,100.685052,1,1
2023,ทางหลวงชนบท,ปท.3017,ปทุมธานี,รถจักรยานยนต์,ทางตรง,ขับรถเร็วเกินอัตรากำหนด,13.960359,100.685052,1,1
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.09422903,100.6902096,0,0
2023,ทางหลวงชนบท,ปท.3004,ปทุมธานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน/ที่ราบ,ขับรถเร็วเกินอัตรากำหนด,13.958374,100.746485,1,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04357159,100.6984439,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.93685398,100.7091111,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.00593777,100.7060185,0,0
2023,ทางหลวง,1,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางโค้งปกติ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95629867,100.6210747,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.12837071,100.6709245,0,1
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,เครื่องยนต์ขัดข้อง,14.14982597,100.6588666,0,2
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04266738,100.6981435,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.96099916,100.7127468,0,0
2023,ทางหลวง,1,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ยางรถยนต์ชำรุด,14.0798867,100.6179349,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.05176527,100.6980497,0,0
2023,ทางหลวง,1,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ความประมาท/เร่งรีบ (วิ่งตัดหน้า),14.03287323,100.6160359,1,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.96009592,100.7127307,0,0
2023,ทางหลวง,345,ปทุมธานี,รถจักรยานยนต์,ทางตรง+ที่ราบ,เมาสุรา,13.96243374,100.5212759,1,0
2023,ทางหลวง,31,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งปกติ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95343667,100.6201999,0,1
2023,ทางหลวง,306,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98793811,100.5506907,0,0
2023,ทางหลวงชนบท,ปท.3025,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถย้อนศร,14.09874,100.868453,1,0
